user_id	first_touch_at	utm_source	utm_campaign
10006	2018-01-24 03:12:16	nytimes	getting-to-know-cool-tshirts
10030	2018-01-25 20:32:02	buzzfeed	ten-crazy-cool-tshirts-facts
10045	2018-01-05 18:31:17	nytimes	getting-to-know-cool-tshirts
10048	2018-01-16 04:17:46	medium	interview-with-cool-tshirts-founder
10069	2018-01-02 23:14:01	buzzfeed	ten-crazy-cool-tshirts-facts
10162	2018-01-29 21:37:10	nytimes	getting-to-know-cool-tshirts
10177	2018-01-24 07:10:33	nytimes	getting-to-know-cool-tshirts
10254	2018-01-23 22:27:18	medium	interview-with-cool-tshirts-founder
10329	2018-01-18 05:27:25	medium	interview-with-cool-tshirts-founder
10354	2018-01-19 10:57:29	nytimes	getting-to-know-cool-tshirts
10400	2018-01-24 20:30:13	buzzfeed	ten-crazy-cool-tshirts-facts
10503	2018-01-07 22:32:21	buzzfeed	ten-crazy-cool-tshirts-facts
10656	2018-01-30 09:36:12	medium	interview-with-cool-tshirts-founder
10677	2018-01-18 03:53:47	medium	interview-with-cool-tshirts-founder
10734	2018-01-05 13:17:16	buzzfeed	ten-crazy-cool-tshirts-facts
10875	2018-01-04 23:23:43	buzzfeed	ten-crazy-cool-tshirts-facts
10877	2018-01-09 14:30:37	medium	interview-with-cool-tshirts-founder
10925	2018-01-20 10:21:30	google	cool-tshirts-search
10957	2018-01-24 10:02:15	buzzfeed	ten-crazy-cool-tshirts-facts
10960	2018-01-06 00:21:21	buzzfeed	ten-crazy-cool-tshirts-facts
11017	2018-01-30 13:22:52	buzzfeed	ten-crazy-cool-tshirts-facts
11021	2018-01-17 05:28:22	medium	interview-with-cool-tshirts-founder
11028	2018-01-01 00:58:13	nytimes	getting-to-know-cool-tshirts
11140	2018-01-18 21:44:54	buzzfeed	ten-crazy-cool-tshirts-facts
11186	2018-01-17 09:25:45	nytimes	getting-to-know-cool-tshirts
11207	2018-01-10 00:23:04	medium	interview-with-cool-tshirts-founder
11214	2018-01-01 10:29:53	nytimes	getting-to-know-cool-tshirts
11234	2018-01-01 23:40:26	nytimes	getting-to-know-cool-tshirts
11403	2018-01-16 13:25:06	medium	interview-with-cool-tshirts-founder
11522	2018-01-22 15:11:29	medium	interview-with-cool-tshirts-founder
11545	2018-01-23 18:51:13	google	cool-tshirts-search
11562	2018-01-10 23:57:42	medium	interview-with-cool-tshirts-founder
11635	2018-01-30 17:00:15	medium	interview-with-cool-tshirts-founder
11661	2018-01-06 14:19:45	medium	interview-with-cool-tshirts-founder
11686	2018-01-05 06:16:29	medium	interview-with-cool-tshirts-founder
11728	2018-01-28 10:25:57	buzzfeed	ten-crazy-cool-tshirts-facts
11735	2018-01-25 21:52:01	buzzfeed	ten-crazy-cool-tshirts-facts
11736	2018-01-27 19:00:34	medium	interview-with-cool-tshirts-founder
11771	2018-01-27 10:37:36	medium	interview-with-cool-tshirts-founder
11794	2018-01-06 21:02:02	medium	interview-with-cool-tshirts-founder
11797	2018-01-28 22:56:06	buzzfeed	ten-crazy-cool-tshirts-facts
11812	2018-01-15 13:08:07	buzzfeed	ten-crazy-cool-tshirts-facts
11902	2018-01-24 00:33:09	buzzfeed	ten-crazy-cool-tshirts-facts
11915	2018-01-16 00:56:29	buzzfeed	ten-crazy-cool-tshirts-facts
11936	2018-01-18 15:44:03	medium	interview-with-cool-tshirts-founder
11946	2018-01-17 11:08:14	medium	interview-with-cool-tshirts-founder
11984	2018-01-04 08:45:33	nytimes	getting-to-know-cool-tshirts
12072	2018-01-29 06:35:32	buzzfeed	ten-crazy-cool-tshirts-facts
12107	2018-01-12 21:17:52	nytimes	getting-to-know-cool-tshirts
12136	2018-01-06 10:59:35	buzzfeed	ten-crazy-cool-tshirts-facts
12218	2018-01-13 21:28:02	buzzfeed	ten-crazy-cool-tshirts-facts
12307	2018-01-18 11:10:22	medium	interview-with-cool-tshirts-founder
12308	2018-01-11 07:30:42	nytimes	getting-to-know-cool-tshirts
12327	2018-01-17 16:39:39	buzzfeed	ten-crazy-cool-tshirts-facts
12333	2018-01-29 01:15:04	google	cool-tshirts-search
12515	2018-01-29 12:32:59	buzzfeed	ten-crazy-cool-tshirts-facts
12542	2018-01-21 10:51:06	medium	interview-with-cool-tshirts-founder
12607	2018-01-18 11:43:07	google	cool-tshirts-search
12667	2018-01-07 03:21:31	buzzfeed	ten-crazy-cool-tshirts-facts
12670	2018-01-08 07:18:26	medium	interview-with-cool-tshirts-founder
12746	2018-01-26 16:14:13	buzzfeed	ten-crazy-cool-tshirts-facts
12808	2018-01-14 15:20:55	medium	interview-with-cool-tshirts-founder
12832	2018-01-09 14:56:48	medium	interview-with-cool-tshirts-founder
12921	2018-01-05 03:48:14	nytimes	getting-to-know-cool-tshirts
